Sample in Buffer,Sample in Window,TRIGGER,FFT_update_i/DDS_FFT_0_psd_avg_read[47:0],FFT_update_i/myFFT_0_cnt_read[9:0],FFT_update_i/DDS_FFT_0_m_valid,FFT_update_i/myFFT_0_dds_phase_incr_0[17:0],FFT_update_i/myFFT_0_dds_phase_incr_1[17:0],FFT_update_i/myFFT_0_dds_phase_incr_2[17:0],FFT_update_i/myFFT_0_pos_radar[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,000ea46969db,000,0,13333,00a3d,0cccc,4
1,1,0,000ea46969db,000,0,13333,00a3d,0cccc,4
2,2,0,000ea46969db,000,0,13333,00a3d,0cccc,4
3,3,0,000ea46969db,000,0,13333,00a3d,0cccc,4
4,4,0,000ea46969db,000,0,13333,00a3d,0cccc,4
5,5,0,000ea46969db,000,0,13333,00a3d,0cccc,4
6,6,0,000ea46969db,000,0,13333,00a3d,0cccc,4
7,7,0,000ea46969db,000,0,13333,00a3d,0cccc,4
8,8,0,000ea46969db,000,0,13333,00a3d,0cccc,4
9,9,0,000ea46969db,000,0,13333,00a3d,0cccc,4
10,10,0,000ea46969db,000,0,13333,00a3d,0cccc,4
11,11,0,000ea46969db,000,0,13333,00a3d,0cccc,4
12,12,0,000ea46969db,000,0,13333,00a3d,0cccc,4
13,13,0,000ea46969db,000,0,13333,00a3d,0cccc,4
14,14,0,000ea46969db,000,0,13333,00a3d,0cccc,4
15,15,0,000ea46969db,000,0,13333,00a3d,0cccc,4
16,16,0,000ea46969db,000,0,13333,00a3d,0cccc,4
17,17,0,000ea46969db,000,0,13333,00a3d,0cccc,4
18,18,0,000ea46969db,000,0,13333,00a3d,0cccc,4
19,19,0,000ea46969db,000,0,13333,00a3d,0cccc,4
20,20,0,000ea46969db,000,0,13333,00a3d,0cccc,4
21,21,0,000ea46969db,000,0,13333,00a3d,0cccc,4
22,22,0,000ea46969db,000,0,13333,00a3d,0cccc,4
23,23,0,000ea46969db,000,0,13333,00a3d,0cccc,4
24,24,0,000ea46969db,000,0,13333,00a3d,0cccc,4
25,25,0,000ea46969db,000,0,13333,00a3d,0cccc,4
26,26,0,000ea46969db,000,0,13333,00a3d,0cccc,4
27,27,0,000ea46969db,000,0,13333,00a3d,0cccc,4
28,28,0,000ea46969db,000,0,13333,00a3d,0cccc,4
29,29,0,000ea46969db,000,0,13333,00a3d,0cccc,4
30,30,0,000ea46969db,000,0,13333,00a3d,0cccc,4
31,31,0,000ea46969db,000,0,13333,00a3d,0cccc,4
32,32,0,000ea46969db,000,0,13333,00a3d,0cccc,4
33,33,0,000ea46969db,000,0,13333,00a3d,0cccc,4
34,34,0,000ea46969db,000,0,13333,00a3d,0cccc,4
35,35,0,000ea46969db,000,0,13333,00a3d,0cccc,4
36,36,0,000ea46969db,000,0,13333,00a3d,0cccc,4
37,37,0,000ea46969db,000,0,13333,00a3d,0cccc,4
38,38,0,000ea46969db,000,0,13333,00a3d,0cccc,4
39,39,0,000ea46969db,000,0,13333,00a3d,0cccc,4
40,40,0,000ea46969db,000,0,13333,00a3d,0cccc,4
41,41,0,000ea46969db,000,0,13333,00a3d,0cccc,4
42,42,0,000ea46969db,000,0,13333,00a3d,0cccc,4
43,43,0,000ea46969db,000,0,13333,00a3d,0cccc,4
44,44,0,000ea46969db,000,0,13333,00a3d,0cccc,4
45,45,0,000ea46969db,000,0,13333,00a3d,0cccc,4
46,46,0,000ea46969db,000,0,13333,00a3d,0cccc,4
47,47,0,000ea46969db,000,0,13333,00a3d,0cccc,4
48,48,0,000ea46969db,000,0,13333,00a3d,0cccc,4
49,49,0,000ea46969db,000,0,13333,00a3d,0cccc,4
50,50,0,000ea46969db,000,0,13333,00a3d,0cccc,4
51,51,0,000ea46969db,000,0,13333,00a3d,0cccc,4
52,52,0,000ea46969db,000,0,13333,00a3d,0cccc,4
53,53,0,000ea46969db,000,0,13333,00a3d,0cccc,4
54,54,0,000ea46969db,000,0,13333,00a3d,0cccc,4
55,55,0,000ea46969db,000,0,13333,00a3d,0cccc,4
56,56,0,000ea46969db,000,0,13333,00a3d,0cccc,4
57,57,0,000ea46969db,000,0,13333,00a3d,0cccc,4
58,58,0,000ea46969db,000,0,13333,00a3d,0cccc,4
59,59,0,000ea46969db,000,0,13333,00a3d,0cccc,4
60,60,0,000ea46969db,000,0,13333,00a3d,0cccc,4
61,61,0,000ea46969db,000,0,13333,00a3d,0cccc,4
62,62,0,000ea46969db,000,0,13333,00a3d,0cccc,4
63,63,0,000ea46969db,000,0,13333,00a3d,0cccc,4
64,64,0,000ea46969db,000,0,13333,00a3d,0cccc,4
65,65,0,000ea46969db,000,0,13333,00a3d,0cccc,4
66,66,0,000ea46969db,000,0,13333,00a3d,0cccc,4
67,67,0,000ea46969db,000,0,13333,00a3d,0cccc,4
68,68,0,000ea46969db,000,0,13333,00a3d,0cccc,4
69,69,0,000ea46969db,000,0,13333,00a3d,0cccc,4
70,70,0,000ea46969db,000,0,13333,00a3d,0cccc,4
71,71,0,000ea46969db,000,0,13333,00a3d,0cccc,4
72,72,0,000ea46969db,000,0,13333,00a3d,0cccc,4
73,73,0,000ea46969db,000,0,13333,00a3d,0cccc,4
74,74,0,000ea46969db,000,0,13333,00a3d,0cccc,4
75,75,0,000ea46969db,000,0,13333,00a3d,0cccc,4
76,76,0,000ea46969db,000,0,13333,00a3d,0cccc,4
77,77,0,000ea46969db,000,0,13333,00a3d,0cccc,4
78,78,0,000ea46969db,000,0,13333,00a3d,0cccc,4
79,79,0,000ea46969db,000,0,13333,00a3d,0cccc,4
80,80,0,000ea46969db,000,0,13333,00a3d,0cccc,4
81,81,0,000ea46969db,000,0,13333,00a3d,0cccc,4
82,82,0,000ea46969db,000,0,13333,00a3d,0cccc,4
83,83,0,000ea46969db,000,0,13333,00a3d,0cccc,4
84,84,0,000ea46969db,000,0,13333,00a3d,0cccc,4
85,85,0,000ea46969db,000,0,13333,00a3d,0cccc,4
86,86,0,000ea46969db,000,0,13333,00a3d,0cccc,4
87,87,0,000ea46969db,000,0,13333,00a3d,0cccc,4
88,88,0,000ea46969db,000,0,13333,00a3d,0cccc,4
89,89,0,000ea46969db,000,0,13333,00a3d,0cccc,4
90,90,0,000ea46969db,000,0,13333,00a3d,0cccc,4
91,91,0,000ea46969db,000,0,13333,00a3d,0cccc,4
92,92,0,000ea46969db,000,0,13333,00a3d,0cccc,4
93,93,0,000ea46969db,000,0,13333,00a3d,0cccc,4
94,94,0,000ea46969db,000,0,13333,00a3d,0cccc,4
95,95,0,000ea46969db,000,0,13333,00a3d,0cccc,4
96,96,0,000ea46969db,000,0,13333,00a3d,0cccc,4
97,97,0,000ea46969db,000,0,13333,00a3d,0cccc,4
98,98,0,000ea46969db,000,0,13333,00a3d,0cccc,4
99,99,0,000ea46969db,000,0,13333,00a3d,0cccc,4
100,100,0,000ea46969db,000,0,13333,00a3d,0cccc,4
101,101,0,000ea46969db,000,0,13333,00a3d,0cccc,4
102,102,0,000ea46969db,000,0,13333,00a3d,0cccc,4
103,103,0,000ea46969db,000,0,13333,00a3d,0cccc,4
104,104,0,000ea46969db,000,0,13333,00a3d,0cccc,4
105,105,0,000ea46969db,000,0,13333,00a3d,0cccc,4
106,106,0,000ea46969db,000,0,13333,00a3d,0cccc,4
107,107,0,000ea46969db,000,0,13333,00a3d,0cccc,4
108,108,0,000ea46969db,000,0,13333,00a3d,0cccc,4
109,109,0,000ea46969db,000,0,13333,00a3d,0cccc,4
110,110,0,000ea46969db,000,0,13333,00a3d,0cccc,4
111,111,0,000ea46969db,000,0,13333,00a3d,0cccc,4
112,112,0,000ea46969db,000,0,13333,00a3d,0cccc,4
113,113,0,000ea46969db,000,0,13333,00a3d,0cccc,4
114,114,0,000ea46969db,000,0,13333,00a3d,0cccc,4
115,115,0,000ea46969db,000,0,13333,00a3d,0cccc,4
116,116,0,000ea46969db,000,0,13333,00a3d,0cccc,4
117,117,0,000ea46969db,000,0,13333,00a3d,0cccc,4
118,118,0,000ea46969db,000,0,13333,00a3d,0cccc,4
119,119,0,000ea46969db,000,0,13333,00a3d,0cccc,4
120,120,0,000ea46969db,000,0,13333,00a3d,0cccc,4
121,121,0,000ea46969db,000,0,13333,00a3d,0cccc,4
122,122,0,000ea46969db,000,0,13333,00a3d,0cccc,4
123,123,0,000ea46969db,000,0,13333,00a3d,0cccc,4
124,124,0,000ea46969db,000,0,13333,00a3d,0cccc,4
